Symbol,Name,Price (Intraday)
GGALB.BA,GRUPO FINANCIERO GALICIA SA,"4,176.00"
LECED.BA,,103.00
TLCLO.BA,,"99,390.00"
VSCFO.BA,,"147,190.00"
LND.BA,LANDORE RESOURCES LIMITED,"6,235.50"
LMS7O.BA,,"135,600.00"
BRKBD.BA,BERKSHIRE HATHAWAY INC CEDEAR E,18.85
IRCJO.BA,,"138,000.00"
TDG4X.BA,,"105,200.00"
TTC7D.BA,,100.55
S31E5.BA,,126.00
T5X4X.BA,,409.00
S29N4.BA,,109.20
RUC5O.BA,,"136,500.00"
RUC7O.BA,,"135,500.00"
SNS9O.BA,,"94,000.00"
NIOD.BA,NIO INC CEDEAR EACH 4 REP 1 ADR,1.0700
T4X4X.BA,,510.25
MRCPO.BA,,"77,980.00"
SG4X.BA,,105.70
RUC5O.BA,,"136,500.00"
RUC7O.BA,,"135,500.00"
LECED.BA,,103.00
NIOD.BA,NIO INC CEDEAR EACH 4 REP 1 ADR,1.0700
T4X4X.BA,,510.25
T5X4X.BA,,409.00
S29N4.BA,,109.20
LND.BA,LANDORE RESOURCES LIMITED,"6,235.50"
CAC8O.BA,,"134,000.00"
BA-C.BA,Bank of America Corp,"13,450.00"
TECOB.BA,TELECOM ARGENTINA SA,"1,823.80"
SDA.BA,SunCar Technology Group Inc.,"5,900.00"
ABBV.BA,AbbVie Inc.,"23,141.00"
SQD.BA,"Block, Inc.",3.1000
TCOM.BA,Trip.com Group Limited,"31,661.50"
AVGO.BA,Broadcom Inc.,"55,663.50"
SPOT.BA,Spotify Technology S.A.,"15,103.50"
TEN.BA,Tenaris S.A.,"41,379.50"
ELP.BA,Companhia Paranaense de Energia - COPEL,"27,620.00"
HAPV3.BA,HAPVIDA PARTICIPACOES INV SA CE,928.00
BIDUD.BA,"Baidu, Inc.",8.00
PKS.BA,POSCO Holdings Inc.,"29,705.00"
KOFM.BA,"Coca-Cola FEMSA, S.A.B. de C.V.","58,125.00"
FD.BA,Ford Motor Company,12.40
ABBVD.BA,AbbVie Inc.,18.05
AMZND.BA,"Amazon.com, Inc.",1.3700
PGD.BA,The Procter & Gamble Company,11.20
CVS.BA,CVS HEALTH CORPORATION CEDEAR E,"5,293.00"
PFED.BA,Pfizer Inc.,7.23
MMMD.BA,3M Company,10.45
SPCE.BA,VIRGIN GALACTIC HLDGS INC CEDEA,"22,790.00"
PSX.BA,Phillips 66,"31,935.50"
RIOD.BA,Rio Tinto Group,8.33
EWZD.BA,ISHARES INC CEDEAR 2 REPR 1 ETF,13.85
QCOMD.BA,QUALCOMM Incorporated,19.30
RACE.BA,FERRARI N V CEDEAR EACH 83 REP,"6,626.00"
RIOT.BA,RIOT PLATFORMS INC RIOT PLATFOR,"4,325.00"
UALD.BA,"United Airlines Holdings, Inc.",9.70
DAL.BA,DELTA AIR LINES INC CEDEAR EACH,"8,030.00"
RBLX.BA,Roblox Corporation,"25,140.00"
AMDD.BA,"Advanced Micro Devices, Inc.",16.55
JMIAD.BA,Jumia Technologies AG,7.35
FCXD.BA,Freeport-McMoRan Inc.,16.70
CATD.BA,Caterpillar Inc.,17.15
ADBED.BA,Adobe Inc.,12.80
TD.BA,AT&T Inc.,6.38
ABTD.BA,Abbott Laboratories,26.90
BBDD.BA,Banco Bradesco S.A.,2.2900
OLC3X.BA,,"85,576.11"
AOCA.BA,Aluminum Corp of China Ltd,"35,400.00"
EAC1O.BA,,"69,990.00"
SPGID.BA,S&P GLOBAL INC CED EACH 20 REPR,9.95
MRCID.BA,,101.50
DOWD.BA,DOW INC CED EACH 2 REPR 1,8.85
KO--B.BA,COCA-COLA CO CEDEARS EACH 5 REP,"17,150.00"
ALUAB.BA,,978.00
T2X5X.BA,,512.50
BAK.BA,BRASKEM S A CEDEAR EACH 2 REPR,"4,364.50"
CEPUB.BA,CENTRAL PUERTO SA,"1,258.00"
LOC2D.BA,,100.50
PNDCO.BA,,"142,740.00"
MGCJO.BA,,"136,200.00"
COIND.BA,COINBASE GLOBAL INC CED EACH 2,8.30
XLEDB.BA,SELECT SECTOR SPDR TRUST CEDEAR,46.20
RCCMO.BA,,"135,000.00"
RUC6O.BA,Nasdaq EM MEA Telecommunication,"134,400.00"
IRCGD.BA,,105.00
SO4X.BA,,115.00
MGC9D.BA,,107.00
IRCID.BA,,97.90
